COD_INE;ID_REL;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;POBLACION_MUNI;SUPERFICIE;PERIMETRO;COD_INE_CAPITAL;CAPITAL;POBLACION_CAPITAL;HOJA_MTN25_ETRS89;LONGITUD_ETRS89;LATITUD_ETRS89;ORIGENCOOR;ALTITUD;ORIGENALTITUD
01001000000;1010014;01;Araba/Álava;Alegría-Dulantzi;2960;1994,5872;35069;01001000101;Alegría-Dulantzi;2842;0113-3;-2,51243731;42,83981158;Mapa;568;MDT
01002000000;1010029;01;Araba/Álava;Amurrio;10281;9629,68;65381;01002000201;Amurrio;9211;0086-4;-3,00007326;43,05427776;Mapa;219;MDT
01003000000;1010035;01;Araba/Álava;Aramaio;1431;7302,1;42081;01003000601;Ibarra;768;0087-4;-2,56540037;43,05119653;Mapa;333;MDT
01004000000;1010040;01;Araba/Álava;Artziniega;1810;2728,73;22886;01004000101;Artziniega;1686;0086-1;-3,12791718;43,12084358;Mapa;210;MDT
01006000000;1010066;01;Araba/Álava;Armiñón;235;1297,27;24707;01006000101;Armiñón;114;0137-4;-2,87183475;42,72326199;Mapa;467;MDT
01008000000;1010088;01;Araba/Álava;Arratzua-Ubarrundia;1031;5755,98;67101;01008000501;Durana;372;0112-4;-2,63878816;42,89116171;Mapa;528;MDT
01009000000;1010091;01;Araba/Álava;Asparrena;1637;6533,64;53712;01009000401;Araia;1238;0113-4;-2,31670754;42,88968768;Mapa;602;MDT
01010000000;1010105;01;Araba/Álava;Ayala/Aiara;2921;14096,94;64211;01010002001;Arespalditza/Respaldiza;405;0086-3;-3,04306746;43,07768283;Mapa;306;MDT
01011000000;1010112;01;Araba/Álava;Baños de Ebro/Mañueta;296;950,39;18666;01011000101;Baños de Ebro/Mañueta;296;0170-4;-2,67863583;42,52925602;Mapa;421;MDT
01013000000;1010133;01;Araba/Álava;Barrundia;914;9742,34;57432;01013001401;Ozaeta;204;0113-3;-2,49407452;42,91537538;Mapa;575;MDT
01014000000;1010148;01;Araba/Álava;Berantevilla;452;3574,75;38696;01014000101;Berantevilla;308;0137-4;-2,85971414;42,68227191;Mapa;471;MDT
01016000000;1010164;01;Araba/Álava;Bernedo;560;13048,2;85964;01016000301;Bernedo;164;0171-1;-2,49825439;42,62676989;Mapa;710;MDT
01017000000;1010170;01;Araba/Álava;Campezo/Kanpezu;1094;8536,0875;53461;01017000501;Santa Cruz de Campezo/Santikurutze Kanpezu;798;0139-4;-2,35207693;42,66971209;Mapa;578;MDT
01018000000;1010186;01;Araba/Álava;Zigoitia;1822;10209,12;48687;01018000901;Gopegi;271;0112-1;-2,73033002;42,96210609;Mapa;585;MDT
01019000000;1010199;01;Araba/Álava;Kripan;176;1251,599;15980;01019000101;Kripan;176;0171-1;-2,51621636;42,59082439;Mapa;691;MDT
