Cáparra	Point(-6.10097222 40.16658333)
Alcudia de Guadix	Point(-3.097447222 37.257597222)
Ciudad Quesada, Alicante	Point(-0.72887 38.06553)
Morrano	Point(-0.110555555 42.198055555)
Almerimar	Point(-2.791111111 36.699722222)
Calzadilla de la Cueza	Point(-4.8 42.333)
Maliaño	Point(-3.835 43.418611111)
Zurita	Point(-3.987777777 43.348611111)
Vivar del Cid	Point(-3.679519444 42.422030555)
Olaeta	Point(-2.63333333 43.05)
Beotegui	Point(-3.07555556 43.08861111)
Bujanda	Point(-2.4 42.68333333)
Menagaray	Point(-3.0725 43.09611111)
Nograro	Point(-3.11666667 42.81666667)
Guadiaro	Point(-5.302222 36.300278)
Zubielqui	Point(-2.068055555 42.678888888)
Inza	Point(-1.993888888 43.014444444)
Castillo de Tajarja	Point(-3.877777777 37.116666666)
Agua Amarga	Point(-1.934558333 36.940541666)
Alangua	Point(-2.37722222 42.81611111)
Alarcos	Point(-4.01017 38.9571)
Alcossebre	Point(0.277222222 40.244722222)
Alecha	Point(-2.4502 42.7555)
San Pantaleón de Losa	Point(-3.2892316 42.9316635)
Algallarín	Point(-4.4553 38.000086)
Los Peñascos	Point(-0.780555555 37.83)
Valdeazores	Point(-4.724122222 39.432272222)
Represa del Condado	Point(-5.421419444 42.643302777)
Cantoral de la Peña	Point(-4.549166666 42.812777777)
Peñacoba	Point(-3.40416667 41.93916667)
Venta del Rayo	Point(-4.21666667 37.13333333)
Barrio de la Vega	Point(-3.558055555 37.133333333)
San Juan de Raicedo	Point(-4.044722222 43.190833333)
Moncabril	Point(-6.75454 42.1223)
Javierrelatre	Point(-0.535632 42.406549)
Tózar	Point(-3.776944444 37.368888888)
Encomienda de Piedrabuena	Point(-7.133333333 39.35)
Apatamonasterio	Point(-2.58361111 43.13138889)
Cereceda	Point(-3.411111111 43.319722222)
Quintana de Sanabria	Point(-6.68135 42.0929)
Tazona	Point(-1.91667 38.3167)
Muñorrodero	Point(-4.482777777 43.364444444)
El Prado	Point(-3.430555555 43.1575)
Hinojar de Cervera	Point(-3.451858333 41.947425)
Escuredo	Point(-6.57125 42.1717)
Albacastro	Point(-4.189877777 42.681736111)
Santa María de Riaza	Point(-3.404688888 41.414088888)
Belvís	Point(-3.866667 38.633056)
Amillano	Point(-2.072777777 42.718055555)
Santa Marinica	Point(-5.850277777 42.371111111)
Badilla	Point(-6.25206111 41.45095833)
Escalada	Point(-3.777222222 42.812222222)
Andagoya	Point(-2.90777778 42.92277778)
Aramendía	Point(-2.102222222 42.711111111)
Arbeiza	Point(-2.063611111 42.674444444)
Arbígano	Point(-2.93305556 42.80444444)
Arenaza	Point(-2.4205 42.7618)
Arizu	Point(-1.606111111 42.975555555)
Arlegui	Point(-1.676666666 42.743611111)
Arrazola	Point(-2.5775 43.098333)
Arrízala	Point(-2.37194444 42.82777778)
Artavia	Point(-2.082222222 42.7325)
Asa	Point(-2.51024 42.52054)
Asa	Point(-2.50694444 42.51944444)
Astúlez	Point(-3.08722222 42.88194444)
Azcárate	Point(-2.008611111 43.036111111)
Baríndano	Point(-2.130833333 42.765833333)
Campamento	Point(-5.3775 36.17805556)
Santa Lucía	Point(-5.637777777 42.874722222)
Quintanilla de Urrilla	Point(-3.199620277 42.115643333)
Puente Tablas	Point(-3.74861111 37.80555556)
Hinojedo	Point(-4.049313 43.396703)
